Dia,CAMPANHA,Produto/Anúncio,PUBLICO,Impressões do anúncio,Cliques,Custo,Cadastros de Conta Corrente,Conversões,Receita,CTR (Click Through Rate),Taxa de Conversão de Cliques (H) para Conversões (K),CPC (Custo por Clique),CPA (Custo por Aquisição/Conversão),ROI como Índice (ROAS),ROI (Retorno sobre Investimento),CANAL_ORIGEM,Índice de Expansão,Coluna1,Receita Gerada,Vendedor que atendeu
2022-09-21 00:00:00,REMARKETING,Empréstimo,COLD,7090.0,60.0,152.10000000000002,0.0,0.0,0.0,0.00846262341325811,0.0,2.5350000000000006,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-21 00:00:00,CONVERSAO,Empréstimo,HOT,63750.0,320.0,1578.5,0.0,0.0,0.0,0.005019607843137255,0.0,4.9328125,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-21 00:00:00,REMARKETING,Empréstimo,COLD,88680.0,600.0,1970.6999999999998,0.0,2.0,26919.0,0.006765899864682003,0.0033333333333333335,3.2844999999999995,985.3499999999999,13.65961333536307,12.659613335363069,METAADS,2.0,,,
2022-09-21 00:00:00,CONVERSAO,Empréstimo,HOT,7540.0,50.0,499.4,0.0,0.0,0.0,0.006631299734748011,0.0,9.988,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-22 00:00:00,Remarketing,Empréstimo,HOT,20390.0,170.0,140.0,,0.0,0.0,0.008337420304070623,0.0,0.8235294117647058,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-22 00:00:00,Conversão,Empréstimo,COLD,8230.0,340.0,1278.1,,1.0,14955.0,0.041312272174969626,1.0,3.7591176470588232,1278.1,11.70096236601205,10.70096236601205,GOOGLE ADS,1.0,,,
2022-09-22 00:00:00,Institucional,Empréstimo,COLD,1200.0,100.0,133.6,,0.0,0.0,0.08333333333333333,0.0,1.3359999999999999,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-22 00:00:00,REMARKETING,Empréstimo,COLD,15230.0,120.0,297.2,0.0,0.0,0.0,0.007879185817465528,0.0,2.4766666666666666,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-22 00:00:00,CONVERSAO,Empréstimo,HOT,65520.0,360.0,1576.6,0.0,0.0,0.0,0.005494505494505495,0.0,4.379444444444444,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-22 00:00:00,REMARKETING,Empréstimo,COLD,105820.0,610.0,1957.8999999999999,0.0,0.0,0.0,0.005764505764505765,0.0,3.2096721311475407,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-22 00:00:00,CONVERSAO,Empréstimo,HOT,7720.0,60.0,487.70000000000005,0.0,0.0,0.0,0.007772020725388601,0.0,8.128333333333334,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-23 00:00:00,Remarketing,Empréstimo,HOT,17090.0,120.0,90.9,,0.0,0.0,0.007021650087770626,0.0,0.7575000000000001,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-23 00:00:00,Conversão,Empréstimo,COLD,5530.0,300.0,1018.1999999999999,,0.0,0.0,0.054249547920433995,0.0,3.3939999999999997,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-23 00:00:00,Institucional,Empréstimo,COLD,1020.0,130.0,223.0,,0.0,0.0,0.12745098039215685,0.0,1.7153846153846153,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-23 00:00:00,REMARKETING,Empréstimo,COLD,19670.0,150.0,290.9,0.0,0.0,0.0,0.007625826131164209,0.0,1.9393333333333331,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-23 00:00:00,CONVERSAO,Empréstimo,HOT,55490.0,350.0,1559.4,0.0,1.0,13459.5,0.006307442782483331,0.002857142857142857,4.4554285714285715,1559.4,8.63120430934975,7.63120430934975,METAADS,1.0,,,
2022-09-23 00:00:00,REMARKETING,Empréstimo,COLD,92880.0,570.0,1908.8999999999999,0.0,1.0,13459.5,0.006136950904392765,0.0017543859649122807,3.3489473684210522,1908.8999999999999,7.050919377652051,6.050919377652051,METAADS,1.0,,,
2022-09-23 00:00:00,CONVERSAO,Empréstimo,HOT,8300.0,90.0,477.5,0.0,0.0,0.0,0.010843373493975903,0.0,5.305555555555555,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-24 00:00:00,Institucional,Empréstimo,COLD,500.0,40.0,13.0,,0.0,0.0,0.08,0.0,0.325,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-24 00:00:00,Remarketing,Empréstimo,HOT,18710.0,90.0,103.0,,0.0,0.0,0.004810261892036344,0.0,1.1444444444444444,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-24 00:00:00,Conversão,Empréstimo,COLD,4110.0,160.0,543.6,,0.0,0.0,0.038929440389294405,0.0,3.3975,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-24 00:00:00,REMARKETING,Empréstimo,COLD,22170.0,140.0,323.7,0.0,0.0,0.0,0.006314839873703203,0.0,2.3121428571428573,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-24 00:00:00,CONVERSAO,Empréstimo,HOT,50500.0,400.0,1624.4,0.0,0.0,0.0,0.007920792079207921,0.0,4.061,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-24 00:00:00,REMARKETING,Empréstimo,COLD,84930.0,540.0,2082.6,0.0,1.0,13459.5,0.006358177322500883,0.001851851851851852,3.8566666666666665,2082.6,6.462834917891098,5.462834917891097,METAADS,1.0,,,
2022-09-24 00:00:00,CONVERSAO,Empréstimo,HOT,8100.0,40.0,480.7,0.0,0.0,0.0,0.0049382716049382715,0.0,12.0175,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-25 00:00:00,Institucional,Empréstimo,COLD,540.0,90.0,169.20000000000002,,1.0,14955.0,0.16666666666666666,1.0,1.8800000000000001,169.20000000000002,88.38652482269502,87.38652482269502,GOOGLE ADS,1.0,,,
2022-09-25 00:00:00,Remarketing,Empréstimo,HOT,22920.0,210.0,174.60000000000002,,0.0,0.0,0.009162303664921465,0.0,0.8314285714285715,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-25 00:00:00,Conversão,Empréstimo,COLD,3790.0,140.0,507.8,,0.0,0.0,0.036939313984168866,0.0,3.6271428571428572,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-25 00:00:00,REMARKETING,Empréstimo,COLD,22880.0,160.0,322.1,0.0,0.0,0.0,0.006993006993006993,0.0,2.013125,0.0,0.0,-1.0,METAADS,0.0,,,
